Plate,Row,ColPair,Column,Sample,WellGroup,WellGroupType,Time
1,E,3,5,90,E_3,Test sample,0
1,E,3,5,90,E_3,Test sample,20
1,E,3,5,90,E_3,Test sample,60
1,E,3,5,90,E_3,Test sample,120
1,E,3,5,90,E_3,Test sample,180
1,E,3,5,90,E_3,Test sample,240
1,E,3,5,90,E_3,Test sample,360
1,E,3,5,90,E_3,Test sample,1440
1,E,3,5,90,E_3,Test sample,1800
1,E,3,6,90,E_3,Test sample,0
1,E,3,6,90,E_3,Test sample,20
1,E,3,6,90,E_3,Test sample,60
1,E,3,6,90,E_3,Test sample,120
1,E,3,6,90,E_3,Test sample,180
1,E,3,6,90,E_3,Test sample,240
1,E,3,6,90,E_3,Test sample,360
1,E,3,6,90,E_3,Test sample,1440
1,E,3,6,90,E_3,Test sample,1800
1,E,4,7,153,E_4,Test sample,0
1,E,4,7,153,E_4,Test sample,20
1,E,4,7,153,E_4,Test sample,60
1,E,4,7,153,E_4,Test sample,120
1,E,4,7,153,E_4,Test sample,180
1,E,4,7,153,E_4,Test sample,240
1,E,4,7,153,E_4,Test sample,360
1,E,4,7,153,E_4,Test sample,1440
1,E,4,7,153,E_4,Test sample,1800
1,E,4,8,153,E_4,Test sample,0
1,E,4,8,153,E_4,Test sample,20
1,E,4,8,153,E_4,Test sample,60
1,E,4,8,153,E_4,Test sample,120
1,E,4,8,153,E_4,Test sample,180
1,E,4,8,153,E_4,Test sample,240
1,E,4,8,153,E_4,Test sample,360
1,E,4,8,153,E_4,Test sample,1440
1,E,4,8,153,E_4,Test sample,1800
1,E,5,9,47,E_5,Test sample,0
1,E,5,9,47,E_5,Test sample,20
1,E,5,9,47,E_5,Test sample,60
1,E,5,9,47,E_5,Test sample,120
1,E,5,9,47,E_5,Test sample,180
1,E,5,9,47,E_5,Test sample,240
1,E,5,9,47,E_5,Test sample,360
1,E,5,9,47,E_5,Test sample,1440
1,E,5,9,47,E_5,Test sample,1800
1,E,5,10,47,E_5,Test sample,0
1,E,5,10,47,E_5,Test sample,20
1,E,5,10,47,E_5,Test sample,60
1,E,5,10,47,E_5,Test sample,120
1,E,5,10,47,E_5,Test sample,180
1,E,5,10,47,E_5,Test sample,240
1,E,5,10,47,E_5,Test sample,360
1,E,5,10,47,E_5,Test sample,1440
1,E,5,10,47,E_5,Test sample,1800
1,E,6,11,115,E_6,Test sample,0
1,E,6,11,115,E_6,Test sample,20
1,E,6,11,115,E_6,Test sample,60
1,E,6,11,115,E_6,Test sample,120
1,E,6,11,115,E_6,Test sample,180
1,E,6,11,115,E_6,Test sample,240
1,E,6,11,115,E_6,Test sample,360
1,E,6,11,115,E_6,Test sample,1440
1,E,6,11,115,E_6,Test sample,1800
1,E,6,12,115,E_6,Test sample,0
1,E,6,12,115,E_6,Test sample,20
1,E,6,12,115,E_6,Test sample,60
1,E,6,12,115,E_6,Test sample,120
1,E,6,12,115,E_6,Test sample,180
1,E,6,12,115,E_6,Test sample,240
1,E,6,12,115,E_6,Test sample,360
1,E,6,12,115,E_6,Test sample,1440
1,E,6,12,115,E_6,Test sample,1800
1,F,1,1,92,F_1,Test sample,0
1,F,1,1,92,F_1,Test sample,20
1,F,1,1,92,F_1,Test sample,60
1,F,1,1,92,F_1,Test sample,120
1,F,1,1,92,F_1,Test sample,180
1,F,1,1,92,F_1,Test sample,240
1,F,1,1,92,F_1,Test sample,360
1,F,1,1,92,F_1,Test sample,1440
1,F,1,1,92,F_1,Test sample,1800
1,F,1,2,92,F_1,Test sample,0
1,F,1,2,92,F_1,Test sample,20
1,F,1,2,92,F_1,Test sample,60
1,F,1,2,92,F_1,Test sample,120
1,F,1,2,92,F_1,Test sample,180
1,F,1,2,92,F_1,Test sample,240
1,F,1,2,92,F_1,Test sample,360
1,F,1,2,92,F_1,Test sample,1440
1,F,1,2,92,F_1,Test sample,1800
1,F,2,3,217,F_2,Test sample,0
1,F,2,3,217,F_2,Test sample,20
1,F,2,3,217,F_2,Test sample,60
1,F,2,3,217,F_2,Test sample,120
1,F,2,3,217,F_2,Test sample,180
1,F,2,3,217,F_2,Test sample,240
1,F,2,3,217,F_2,Test sample,360
1,F,2,3,217,F_2,Test sample,1440
1,F,2,3,217,F_2,Test sample,1800
1,F,2,4,217,F_2,Test sample,0
1,F,2,4,217,F_2,Test sample,20
1,F,2,4,217,F_2,Test sample,60
1,F,2,4,217,F_2,Test sample,120
1,F,2,4,217,F_2,Test sample,180
1,F,2,4,217,F_2,Test sample,240
1,F,2,4,217,F_2,Test sample,360
1,F,2,4,217,F_2,Test sample,1440
1,F,2,4,217,F_2,Test sample,1800
1,F,3,5,170,F_3,Test sample,0
1,F,3,5,170,F_3,Test sample,20
1,F,3,5,170,F_3,Test sample,60
1,F,3,5,170,F_3,Test sample,120
1,F,3,5,170,F_3,Test sample,180
1,F,3,5,170,F_3,Test sample,240
1,F,3,5,170,F_3,Test sample,360
1,F,3,5,170,F_3,Test sample,1440
1,F,3,5,170,F_3,Test sample,1800
1,F,3,6,170,F_3,Test sample,0
1,F,3,6,170,F_3,Test sample,20
1,F,3,6,170,F_3,Test sample,60
1,F,3,6,170,F_3,Test sample,120
1,F,3,6,170,F_3,Test sample,180
1,F,3,6,170,F_3,Test sample,240
1,F,3,6,170,F_3,Test sample,360
1,F,3,6,170,F_3,Test sample,1440
1,F,3,6,170,F_3,Test sample,1800
1,F,4,7,61,F_4,Test sample,0
1,F,4,7,61,F_4,Test sample,20
1,F,4,7,61,F_4,Test sample,60
1,F,4,7,61,F_4,Test sample,120
1,F,4,7,61,F_4,Test sample,180
1,F,4,7,61,F_4,Test sample,240
1,F,4,7,61,F_4,Test sample,360
1,F,4,7,61,F_4,Test sample,1440
1,F,4,7,61,F_4,Test sample,1800
1,F,4,8,61,F_4,Test sample,0
1,F,4,8,61,F_4,Test sample,20
1,F,4,8,61,F_4,Test sample,60
1,F,4,8,61,F_4,Test sample,120
1,F,4,8,61,F_4,Test sample,180
1,F,4,8,61,F_4,Test sample,240
1,F,4,8,61,F_4,Test sample,360
1,F,4,8,61,F_4,Test sample,1440
1,F,4,8,61,F_4,Test sample,1800
1,F,5,9,65,F_5,Test sample,0
1,F,5,9,65,F_5,Test sample,20
1,F,5,9,65,F_5,Test sample,60
1,F,5,9,65,F_5,Test sample,120
1,F,5,9,65,F_5,Test sample,180
1,F,5,9,65,F_5,Test sample,240
1,F,5,9,65,F_5,Test sample,360
1,F,5,9,65,F_5,Test sample,1440
1,F,5,9,65,F_5,Test sample,1800
1,F,5,10,65,F_5,Test sample,0
1,F,5,10,65,F_5,Test sample,20
1,F,5,10,65,F_5,Test sample,60
1,F,5,10,65,F_5,Test sample,120
1,F,5,10,65,F_5,Test sample,180
1,F,5,10,65,F_5,Test sample,240
1,F,5,10,65,F_5,Test sample,360
1,F,5,10,65,F_5,Test sample,1440
1,F,5,10,65,F_5,Test sample,1800
1,F,6,11,132,F_6,Test sample,0
1,F,6,11,132,F_6,Test sample,20
1,F,6,11,132,F_6,Test sample,60
1,F,6,11,132,F_6,Test sample,120
1,F,6,11,132,F_6,Test sample,180
1,F,6,11,132,F_6,Test sample,240
1,F,6,11,132,F_6,Test sample,360
1,F,6,11,132,F_6,Test sample,1440
1,F,6,11,132,F_6,Test sample,1800
1,F,6,12,132,F_6,Test sample,0
1,F,6,12,132,F_6,Test sample,20
1,F,6,12,132,F_6,Test sample,60
1,F,6,12,132,F_6,Test sample,120
1,F,6,12,132,F_6,Test sample,180
1,F,6,12,132,F_6,Test sample,240
1,F,6,12,132,F_6,Test sample,360
1,F,6,12,132,F_6,Test sample,1440
1,F,6,12,132,F_6,Test sample,1800
1,G,1,1,121,G_1,Test sample,0
1,G,1,1,121,G_1,Test sample,20
1,G,1,1,121,G_1,Test sample,60
